id,first,second,third
1,0,1,2
2,0,1,3
3,0,1,4
4,0,1,5
5,0,1,6
6,0,1,7
7,0,1,8
8,0,1,9
9,0,2,3
10,0,2,4
11,0,2,5
12,0,2,6
13,0,2,7
14,0,2,8
15,0,2,9
16,0,3,4
17,0,3,5
18,0,3,6
19,0,3,7
20,0,3,8
21,0,3,9
22,0,4,5
23,0,4,6
24,0,4,7
25,0,4,8
26,0,4,9
27,0,5,6
28,0,5,7
29,0,5,8
30,0,5,9
31,0,6,7
32,0,6,8
33,0,6,9
34,0,7,8
35,0,7,9
36,0,8,9
37,1,2,3
38,1,2,4
39,1,2,5
40,1,2,6
41,1,2,7
42,1,2,8
43,1,2,9
44,1,3,4
45,1,3,5
46,1,3,6
47,1,3,7
48,1,3,8
49,1,3,9
50,1,4,5
51,1,4,6
52,1,4,7
53,1,4,8
54,1,4,9
55,1,5,6
56,1,5,7
57,1,5,8
58,1,5,9
59,1,6,7
60,1,6,8
61,1,6,9
62,1,7,8
63,1,7,9
64,1,8,9
65,2,3,4
66,2,3,5
67,2,3,6
68,2,3,7
69,2,3,8
70,2,3,9
71,2,4,5
72,2,4,6
73,2,4,7
74,2,4,8
75,2,4,9
76,2,5,6
77,2,5,7
78,2,5,8
79,2,5,9
80,2,6,7
81,2,6,8
82,2,6,9
83,2,7,8
84,2,7,9
85,2,8,9
86,3,4,5
87,3,4,6
88,3,4,7
89,3,4,8
90,3,4,9
91,3,5,6
92,3,5,7
93,3,5,8
94,3,5,9
95,3,6,7
96,3,6,8
97,3,6,9
98,3,7,8
99,3,7,9
100,3,8,9
101,4,5,6
102,4,5,7
103,4,5,8
104,4,5,9
105,4,6,7
106,4,6,8
107,4,6,9
108,4,7,8
109,4,7,9
110,4,8,9
111,5,6,7
112,5,6,8
113,5,6,9
114,5,7,8
115,5,7,9
116,5,8,9
117,6,7,8
118,6,7,9
119,6,8,9
120,7,8,9
